c_id,iso3,country,pop_thousands,pop_prob,sex_ratio,male_ratio,median_age,c_id-2,country-2,sub15,sub65,65plus,region
167,RWA,Rwanda,13954,0.0017251,95.1,0.49,19.4,167, Rwanda,0.38,0.591,0.03,Africa
168,BLM,Saint Barthelemy,11,0.0000014,88.1,0.47,38.8,168, Saint Barthelemy,0.141,0.638,0.221,North America
169,SHN,Saint Helena,5,0.0000007,100.3,0.5,50.5,169," Saint Helena, Ascension, and Tristan da Cunha",0.145,0.669,0.187,Africa
170,KNA,Saint Kitts and Nevis,47,0.0000058,92,0.48,35.3,170, Saint Kitts and Nevis,0.194,0.685,0.121,North America
171,LCA,Saint Lucia,179,0.0000222,97.7,0.49,33.7,171, Saint Lucia,0.182,0.67,0.148,North America
172,MAF,Saint Martin (French part),28,0.0000034,87.7,0.47,39.4,172, Saint Martin,0.249,0.647,0.105,North America
173,SPM,Saint Pierre and Miquelon,6,0.0000007,97.8,0.49,46.4,173, Saint Pierre and Miquelon,0.134,0.62,0.246,North America
174,VCT,Saint Vincent and the Grenadines,101,0.0000125,104,0.51,33.9,174, Saint Vincent and the Grenadines,0.191,0.686,0.124,North America
175,WSM,Samoa,217,0.0000268,101.4,0.5,19.9,175, Samoa,0.273,0.657,0.069,Oceania
176,SMR,San Marino,34,0.0000042,96.7,0.49,47.4,176, San Marino,0.143,0.646,0.211,Europe
177,STP,Sao Tome and Principe,231,0.0000285,98.9,0.5,19.1,177, São Tomé and Príncipe,0.372,0.596,0.032,Africa
178,SAU,Saudi Arabia,33264,0.0041123,154.2,0.61,29.2,178, Saudi Arabia,0.235,0.724,0.042,Asia
179,SEN,Senegal,18078,0.0022349,103.6,0.51,19.1,179, Senegal,0.412,0.555,0.033,Africa
180,SRB,Serbia,6773,0.0008373,90.4,0.47,43.9,180, Serbia,0.145,0.658,0.197,Europe
181,SYC,Seychelles,128,0.0000158,123.1,0.55,33.7,181, Seychelles,0.18,0.726,0.095,Africa
